Letter,Letter_URL,Num,Title,Image_URL,by_VG
let451,https://vangoghletters.org/vg/letters/let451/letter.html,2473,"Vincent van Gogh - Weaver, interior with three small windows (F 37 / JH 501)",https://vangoghletters.org/vg/illustrations/2473.jpg,True
let337,https://vangoghletters.org/vg/letters/let337/letter.html,3035,Vincent van Gogh - Woman on her deathbed (F 841 / JH 359),https://vangoghletters.org/vg/illustrations/3035.jpg,True
let337,https://vangoghletters.org/vg/letters/let337/letter.html,171,Hubert von Herkomer - Sunday at Chelsea Hospital,https://vangoghletters.org/vg/illustrations/171.jpg,False
let337,https://vangoghletters.org/vg/letters/let337/letter.html,1950,Alfred Philippe Roll - A miners’ strike,https://vangoghletters.org/vg/illustrations/1950.jpg,False
let337,https://vangoghletters.org/vg/letters/let337/letter.html,1910,"Hubert von Herkomer - detail from The last muster. Sunday at the Royal hospital, Chelsea",https://vangoghletters.org/vg/illustrations/1910.jpg,False
let445,https://vangoghletters.org/vg/letters/let445/letter.html,2467,Vincent van Gogh - Weaver (F 30 / JH 479),https://vangoghletters.org/vg/illustrations/2467.jpg,True
let445,https://vangoghletters.org/vg/letters/let445/letter.html,2462,Vincent van Gogh - Weaver and a spinning wheel (F 29 / JH 471),https://vangoghletters.org/vg/illustrations/2462.jpg,True
let445,https://vangoghletters.org/vg/letters/let445/letter.html,2466,Vincent van Gogh - Landscape with pollard birches (F 31 / JH 477),https://vangoghletters.org/vg/illustrations/2466.jpg,True
let445,https://vangoghletters.org/vg/letters/let445/letter.html,1682,Jean-François Millet - The evening,https://vangoghletters.org/vg/illustrations/1682.jpg,False
let280,https://vangoghletters.org/vg/letters/let280/letter.html,1996,Honoré Daumier - Pot-de-naz,https://vangoghletters.org/vg/illustrations/1996.jpg,False
let280,https://vangoghletters.org/vg/letters/let280/letter.html,58,Honoré Daumier - The third-class carriage,https://vangoghletters.org/vg/illustrations/58.jpg,False
let280,https://vangoghletters.org/vg/letters/let280/letter.html,1997,Honoré Daumier - Scene from the Revolution,https://vangoghletters.org/vg/illustrations/1997.jpg,False
let280,https://vangoghletters.org/vg/letters/let280/letter.html,2407,"Vincent van Gogh - Jozef Blok, the bookseller (F 993 / JH 254)",https://vangoghletters.org/vg/illustrations/2407.jpg,True
let280,https://vangoghletters.org/vg/letters/let280/letter.html,3019,Vincent van Gogh - Gasworks (F 924 / JH 118),https://vangoghletters.org/vg/illustrations/3019.jpg,True
let280,https://vangoghletters.org/vg/letters/let280/letter.html,1747,Gustave Brion - The end of the flood (Noah),https://vangoghletters.org/vg/illustrations/1747.jpg,False
let280,https://vangoghletters.org/vg/letters/let280/letter.html,995,"Charles Emile Jacque - The twelve months of the year, January",https://vangoghletters.org/vg/illustrations/995.jpg,False
let280,https://vangoghletters.org/vg/letters/let280/letter.html,1998,"Charles Emile Jacque - The twelve months of the year, February",https://vangoghletters.org/vg/illustrations/1998.jpg,False
let280,https://vangoghletters.org/vg/letters/let280/letter.html,1999,"Charles Emile Jacque - The twelve months of the year, March",https://vangoghletters.org/vg/illustrations/1999.jpg,False
let280,https://vangoghletters.org/vg/letters/let280/letter.html,2000,"Charles Emile Jacque - The twelve months of the year, April",https://vangoghletters.org/vg/illustrations/2000.jpg,False
let280,https://vangoghletters.org/vg/letters/let280/letter.html,2001,"Charles Emile Jacque - The twelve months of the year, May",https://vangoghletters.org/vg/illustrations/2001.jpg,False
let280,https://vangoghletters.org/vg/letters/let280/letter.html,2002,"Charles Emile Jacque - The twelve months of the year, June",https://vangoghletters.org/vg/illustrations/2002.jpg,False
let280,https://vangoghletters.org/vg/letters/let280/letter.html,2003,"Charles Emile Jacque - The twelve months of the year, July",https://vangoghletters.org/vg/illustrations/2003.jpg,False
let280,https://vangoghletters.org/vg/letters/let280/letter.html,2004,"Charles Emile Jacque - The twelve months of the year, August",https://vangoghletters.org/vg/illustrations/2004.jpg,False
let280,https://vangoghletters.org/vg/letters/let280/letter.html,2005,"Charles Emile Jacque - The twelve months of the year, September",https://vangoghletters.org/vg/illustrations/2005.jpg,False
let280,https://vangoghletters.org/vg/letters/let280/letter.html,2006,"Charles Emile Jacque - The twelve months of the year, October",https://vangoghletters.org/vg/illustrations/2006.jpg,False
let280,https://vangoghletters.org/vg/letters/let280/letter.html,2007,"Charles Emile Jacque - The twelve months of the year, November",https://vangoghletters.org/vg/illustrations/2007.jpg,False
let280,https://vangoghletters.org/vg/letters/let280/letter.html,2008,"Charles Emile Jacque - The twelve months of the year, December",https://vangoghletters.org/vg/illustrations/2008.jpg,False
let280,https://vangoghletters.org/vg/letters/let280/letter.html,2406,Vincent van Gogh - Women miners (F 994 / JH 253),https://vangoghletters.org/vg/illustrations/2406.jpg,True
let280,https://vangoghletters.org/vg/letters/let280/letter.html,1891,Jean-François Millet - The gleaners,https://vangoghletters.org/vg/illustrations/1891.jpg,False
let294,https://vangoghletters.org/vg/letters/let294/letter.html,448,Emile Wauters - Mary of Burgundy begging mercy of the magistrates of Ghent for her advisers Hugonet and Humbercourt,https://vangoghletters.org/vg/illustrations/448.jpg,False
